Event	ID	Name			Wwise Object Path	Notes
	281579790	MUS_Scene2_Stop			\Default Work Unit\MX\MUS_Scene2_Stop	
	509453139	Door_House_Outside_Open			\Default Work Unit\Props\Door_House_Outside_Open	
	597432099	Dough_React_Grow_Stop			\Default Work Unit\Props\Dough\Dough_React_Grow_Stop	
	797527444	MUS_Dialog_Start			\Default Work Unit\MX\MUS_Dialog_Start	
	843151098	MUS_StartScreen_Start			\Default Work Unit\MX\MUS_StartScreen_Start	
	951148415	MUS_Schlager_Start			\Default Work Unit\MX\MUS_Schlager_Start	
	1195524065	MUS_Menu_Start			\Default Work Unit\MX\MUS_Menu_Start	
	1205543049	Dough_React_Grow_Start			\Default Work Unit\Props\Dough\Dough_React_Grow_Start	
	1233864094	Dough_React_Steady_Start			\Default Work Unit\Props\Dough\Dough_React_Steady_Start	
	1360862177	Smartphone_Click			\Default Work Unit\Props\Smartphone_Click	
	1555599282	MUS_DorffestJingle_Start			\Default Work Unit\MX\MUS_DorffestJingle_Start	
	1822647189	Dough_React_Shrink_Stop			\Default Work Unit\Props\Dough\Dough_React_Shrink_Stop	
	2007948846	MUS_Scene2_Start			\Default Work Unit\MX\MUS_Scene2_Start	
	2061060223	MUS_Sauerteig_Start_2C			\Default Work Unit\MX\MUS_Sauerteig_Start_2C	
	2371375953	Door_House_Outside_Close			\Default Work Unit\Props\Door_House_Outside_Close	
	2558363198	Dough_React_Steady_Stop			\Default Work Unit\Props\Dough\Dough_React_Steady_Stop	
	2690086085	MUS_Schlager_Stop			\Default Work Unit\MX\MUS_Schlager_Stop	
	2755388175	Dough_React_Shrink_Start			\Default Work Unit\Props\Dough\Dough_React_Shrink_Start	
	2909751214	Door_House_Inside_Open			\Default Work Unit\Props\Door_House_Inside_Open	
	2930347891	Bike_Click			\Default Work Unit\Props\Bike_Click	
	3073992842	Door_House_Inside_Close			\Default Work Unit\Props\Door_House_Inside_Close	
	3678466239	Door_Slam			\Default Work Unit\Props\Door_Slam	
	3881560519	Smarthphone_GetOut			\Default Work Unit\Props\Smarthphone_GetOut	
	4204145805	MUS_Scene1_Start			\Default Work Unit\MX\MUS_Scene1_Start	
	4211178899	Smartphone_PutBack			\Default Work Unit\Props\Smartphone_PutBack	
	4294454276	MUS_DialogTraurig_Start			\Default Work Unit\MX\MUS_DialogTraurig_Start	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1166628669	Dough_Rise_n_Sink			\Default Work Unit\PROPS\Dough_Rise_n_Sink	

Effect plug-ins	ID	Name	Type				Notes
	1763592331	New_Meter	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17809938	PROP_Smartphone_Putback-03_TS	.cache\71\{71EF22B9-BE02-5618-B103-C1248C966EE7}.wem		\Containers\Tristan\Props\PROP_Smartphone_Putback\PROP_Smartphone_Putback-03_TS		37508
	36562100	PROP_Smartphone_GetOut-02_TS	.cache\36\{36713C74-882A-0A4B-341E-20BD33ED5D19}.wem		\Containers\Tristan\Props\PROP_Smartphone_GetOut\PROP_Smartphone_GetOut-02_TS		38616
	61310738	PROP_Door_House_Outside_Open-03_TS	.cache\EC\{ECBC9C47-9A05-A34B-D8DA-4F93D671C545}.wem		\Containers\Tristan\Props\PROP_Door_House_Outside_Open\PROP_Door_House_Outside_Open-03_TS		78402
	65537474	LAY 02	.cache\FE\{FECDC71E-FD23-CECF-0E53-C8A0F6F70533}.wem		\Containers\MX\MX_Dorffest\MX_Dorffest_Seg\LAY 02		3034488
	72473378	PROP_Door_Slam-01_TS	.cache\81\{81726142-947C-6416-5382-AD98500A1B55}.wem		\Containers\Tristan\Props\PROP_Door_Slam-01_TS		72028
	102658884	PROP_Smartphone_Click-02_TS	.cache\0E\{0E79E502-D94D-C30E-400B-BF2EF61715D6}.wem		\Containers\Tristan\Props\PROP_Smartphone_Click\PROP_Smartphone_Click-02_TS		25724
	157993529	TRK_Scene 01_LAY 03	.cache\D0\{D0CD45AA-BEC8-ADEA-A602-ED1ED84CEEA3}.wem		\Containers\MX\MX_Scene 01\MX_Scene 01_LOOP\TRK_Scene 01_LAY 03		24576096
	185022841	260110_CoD_Szene 02A_cut01	.cache\81\{81B59B2B-20B9-0C7A-9B4D-0D0DB653F801}.wem		\Containers\Default Work Unit\Scene2\260110_CoD_Szene 02A_cut01\260110_CoD_Szene 02A_cut01		46464100
	225013524	PROP_Door_House_Outside_Close-03_TS	.cache\82\{8207ED9C-0F10-E39B-F761-287225901744}.wem		\Containers\Tristan\Props\PROP_Door_House_Outside_Close\PROP_Door_House_Outside_Close-03_TS		89324
	300077198	TRK_Scene 01_LAY 02	.cache\31\{31B2194B-EB8B-70BD-355E-741CC8C8739E}.wem		\Containers\MX\MX_Scene 01\MX_Scene 01_INTRO\TRK_Scene 01_LAY 02		2352096
	306826646	PROP_Door_House_Inside_Close-01_TS	.cache\32\{32BAB0E0-7A98-85AB-2564-A6E927EC2049}.wem		\Containers\Tristan\Props\PROP_Door_House_Inside_Close\PROP_Door_House_Inside_Close-01_TS		63790
